lane_id,edge_id,tls_id
1124102316#0_0,1124102316#0,cluster_13298747747_13298747748_13298747749_13298747755_#2more
218918469#1_0,218918469#1,cluster_13298747747_13298747748_13298747749_13298747755_#2more
219372550#15_0,219372550#15,cluster_13298747747_13298747748_13298747749_13298747755_#2more
52087627#2_0,52087627#2,cluster_13298747747_13298747748_13298747749_13298747755_#2more
52087627#2_0,52087627#2,cluster_13298747747_13298747748_13298747749_13298747755_#2more
52087627#2_0,52087627#2,cluster_13298747747_13298747748_13298747749_13298747755_#2more
102690984#0_0,102690984#0,joinedS_cluster_11502623494_11502623496_1186025300_13298747739_cluster_664446535_8507351665_8507351666
102690984#0_0,102690984#0,joinedS_cluster_11502623494_11502623496_1186025300_13298747739_cluster_664446535_8507351665_8507351666
102961698#7_0,102961698#7,joinedS_cluster_11502623494_11502623496_1186025300_13298747739_cluster_664446535_8507351665_8507351666
102961698#7_0,102961698#7,joinedS_cluster_11502623494_11502623496_1186025300_13298747739_cluster_664446535_8507351665_8507351666
1238263630#0_0,1238263630#0,joinedS_cluster_11502623494_11502623496_1186025300_13298747739_cluster_664446535_8507351665_8507351666
1238263630#0_0,1238263630#0,joinedS_cluster_11502623494_11502623496_1186025300_13298747739_cluster_664446535_8507351665_8507351666
1238263630#0_0,1238263630#0,joinedS_cluster_11502623494_11502623496_1186025300_13298747739_cluster_664446535_8507351665_8507351666
1312946259#4_0,1312946259#4,joinedS_cluster_11502623494_11502623496_1186025300_13298747739_cluster_664446535_8507351665_8507351666
1312946259#4_0,1312946259#4,joinedS_cluster_11502623494_11502623496_1186025300_13298747739_cluster_664446535_8507351665_8507351666
1389216080#0_0,1389216080#0,joinedS_cluster_11502623494_11502623496_1186025300_13298747739_cluster_664446535_8507351665_8507351666
1389216080#0_0,1389216080#0,joinedS_cluster_11502623494_11502623496_1186025300_13298747739_cluster_664446535_8507351665_8507351666
1389216080#0_0,1389216080#0,joinedS_cluster_11502623494_11502623496_1186025300_13298747739_cluster_664446535_8507351665_8507351666
218918472#2_0,218918472#2,joinedS_cluster_11502623494_11502623496_1186025300_13298747739_cluster_664446535_8507351665_8507351666
218918472#3_0,218918472#3,joinedS_cluster_11502623494_11502623496_1186025300_13298747739_cluster_664446535_8507351665_8507351666
219372550#10_0,219372550#10,joinedS_cluster_11502623494_11502623496_1186025300_13298747739_cluster_664446535_8507351665_8507351666
219372550#11_0,219372550#11,joinedS_cluster_11502623494_11502623496_1186025300_13298747739_cluster_664446535_8507351665_8507351666
102961703#0_0,102961703#0,cluster_1189036692_13298747742
102961703#0_0,102961703#0,cluster_1189036692_13298747742
1173597755#4_0,1173597755#4,cluster_1189036692_13298747742
1173597755#4_0,1173597755#4,cluster_1189036692_13298747742
218918472#7_0,218918472#7,cluster_1189036692_13298747742
1124102303_0,1124102303,cluster_13298747750_13298747754_7007141699
1124102316#1_0,1124102316#1,cluster_13298747750_13298747754_7007141699
