node_id,intervention,mean_total_conflicts,std_total_conflicts,mean_severe_conflicts,std_severe_conflicts,num_replicates,subnet_baseline_conflicts,subnet_baseline_severe,baseline_mean_conflicts,baseline_mean_severe,conflict_delta,conflict_pct_change,severe_delta,severe_pct_change,node_type,has_signal,num_lanes_total,num_connected_edges,avg_speed_limit_ms,lat,lon,total_vehicle_count,mean_speed_ms,max_speed_observed_ms,total_halting_count,mean_occupancy_pct,mean_gap_m,min_gap_m,mean_rel_velocity_ms,mean_time_gap_s,min_time_gap_s,mean_acceleration_ms2,min_acceleration_ms2,total_hard_brakes,num_lane_rows,likely_real_effect
cluster_10279701142_664471710,none,1146.6666666666667,45.50091574170056,330.3333333333333,24.78574859336173,3,1146.6666666666667,330.3333333333333,179,74,0.0,0.0,0.0,0.0,priority,False,12,8,16.67,22.567898961306405,88.35605718601485,67,10.198409090909092,17.98,22,0.0845454545454545,50.93285714285714,0.0,-1.4185714285714286,10.542142857142856,0.5,0.2813636363636363,-5.0,118,44,False
cluster_10279701142_664471710,speed_breaker,1174.3333333333333,39.62743157628729,341.0,13.076696830622021,3,1146.6666666666667,330.3333333333333,179,74,27.666666666666515,2.412790697674405,10.666666666666686,3.2290615539858782,priority,False,12,8,16.67,22.567898961306405,88.35605718601485,67,10.198409090909092,17.98,22,0.0845454545454545,50.93285714285714,0.0,-1.4185714285714286,10.542142857142856,0.5,0.2813636363636363,-5.0,118,44,False
cluster_10279761592_11942000229_11942000233_663943274,add_signal,2169.6666666666665,111.63482132978646,617.3333333333334,32.34707611722167,3,2269.0,648.6666666666666,104,32,-99.33333333333348,-4.3778463346555085,-31.333333333333258,-4.8304213771839555,priority,False,7,7,17.46,22.56808017789596,88.34907729316154,32,9.631764705882354,17.95,8,0.0588235294117647,44.839375,0.0,0.854375,5.278125,0.37,-0.3805882352941176,-5.0,184,17,False
cluster_10279761592_11942000229_11942000233_663943274,none,2269.0,127.33027919548437,648.6666666666666,10.016652800877813,3,2269.0,648.6666666666666,104,32,0.0,0.0,0.0,0.0,priority,False,7,7,17.46,22.56808017789596,88.34907729316154,32,9.631764705882354,17.95,8,0.0588235294117647,44.839375,0.0,0.854375,5.278125,0.37,-0.3805882352941176,-5.0,184,17,False
cluster_10279761592_11942000229_11942000233_663943274,speed_breaker,2311.3333333333335,43.650124092988925,652.3333333333334,32.39341496868357,3,2269.0,648.6666666666666,104,32,42.333333333333485,1.8657264580578883,3.6666666666667425,0.5652620760534547,priority,False,7,7,17.46,22.56808017789596,88.34907729316154,32,9.631764705882354,17.95,8,0.0588235294117647,44.839375,0.0,0.854375,5.278125,0.37,-0.3805882352941176,-5.0,184,17,False
cluster_10281958925_10281958926_6508834064_6508834065_#1more,add_signal,1835.6666666666667,22.678918257565435,597.3333333333334,33.842773723992146,3,1608.0,504.3333333333333,190,48,227.66666666666674,14.158374792703155,93.00000000000006,18.440185062789173,priority,False,11,7,17.43,22.57242988055185,88.358576276534,60,9.8965625,17.99,32,0.0909375,55.47870967741935,0.0,1.900967741935484,7.041935483870968,0.37,-0.559375,-5.0,343,32,True
cluster_10281958925_10281958926_6508834064_6508834065_#1more,none,1608.0,60.6217782649107,504.3333333333333,39.57692930652065,3,1608.0,504.3333333333333,190,48,0.0,0.0,0.0,0.0,priority,False,11,7,17.43,22.57242988055185,88.358576276534,60,9.8965625,17.99,32,0.0909375,55.47870967741935,0.0,1.900967741935484,7.041935483870968,0.37,-0.559375,-5.0,343,32,False
cluster_10281958925_10281958926_6508834064_6508834065_#1more,speed_breaker,1631.6666666666667,122.54114955121538,520.3333333333334,61.53318887668129,3,1608.0,504.3333333333333,190,48,23.666666666666742,1.4718076285240511,16.000000000000057,3.1725049570390067,priority,False,11,7,17.43,22.57242988055185,88.358576276534,60,9.8965625,17.99,32,0.0909375,55.47870967741935,0.0,1.900967741935484,7.041935483870968,0.37,-0.559375,-5.0,343,32,False
cluster_11158897100_11158897101_11158897102_664471748_#1more,add_signal,1340.3333333333333,41.88476254359497,407.6666666666667,11.590225767142478,3,1164.3333333333333,340.6666666666667,114,50,176.0,15.115946178070427,67.0,19.667318982387474,priority,False,12,8,18.06,22.5670752823748,88.35445497749566,46,10.384117647058824,17.99,28,0.0544117647058823,44.268214285714286,0.0,-0.2096428571428571,7.987777777777778,0.19,-0.0685294117647058,-5.0,252,34,True
cluster_11158897100_11158897101_11158897102_664471748_#1more,none,1164.3333333333333,7.505553499465164,340.6666666666667,23.79775899813537,3,1164.3333333333333,340.6666666666667,114,50,0.0,0.0,0.0,0.0,priority,False,12,8,18.06,22.5670752823748,88.35445497749566,46,10.384117647058824,17.99,28,0.0544117647058823,44.268214285714286,0.0,-0.2096428571428571,7.987777777777778,0.19,-0.0685294117647058,-5.0,252,34,False
cluster_11158897100_11158897101_11158897102_664471748_#1more,speed_breaker,1218.0,72.85602240034794,350.0,60.802960454241045,3,1164.3333333333333,340.6666666666667,114,50,53.66666666666674,4.609218436873754,9.333333333333314,2.7397260273972543,priority,False,12,8,18.06,22.5670752823748,88.35445497749566,46,10.384117647058824,17.99,28,0.0544117647058823,44.268214285714286,0.0,-0.2096428571428571,7.987777777777778,0.19,-0.0685294117647058,-5.0,252,34,True
cluster_1177211304_1177211692,add_signal,3309.0,39.35733730830886,1079.3333333333333,11.15048578911852,3,3372.0,1074.0,182,44,-63.0,-1.8683274021352312,5.3333333333332575,0.4965859714462996,priority,False,6,6,13.89,22.56827549787022,88.35952267177686,54,9.561666666666667,17.99,43,0.1966666666666666,37.92888888888889,0.0,3.185555555555556,5.225555555555555,0.5,-0.0975,-5.0,120,12,False
cluster_1177211304_1177211692,none,3372.0,156.61417560361514,1074.0,57.37595315112421,3,3372.0,1074.0,182,44,0.0,0.0,0.0,0.0,priority,False,6,6,13.89,22.56827549787022,88.35952267177686,54,9.561666666666667,17.99,43,0.1966666666666666,37.92888888888889,0.0,3.185555555555556,5.225555555555555,0.5,-0.0975,-5.0,120,12,False
cluster_1177211304_1177211692,speed_breaker,3415.0,215.39730731835994,1100.6666666666667,87.32315462312006,3,3372.0,1074.0,182,44,43.0,1.2752075919335706,26.666666666666742,2.4829298572315404,priority,False,6,6,13.89,22.56827549787022,88.35952267177686,54,9.561666666666667,17.99,43,0.1966666666666666,37.92888888888889,0.0,3.185555555555556,5.225555555555555,0.5,-0.0975,-5.0,120,12,False
