node_id,node_type,has_signal,num_lanes_total,num_connected_edges,avg_speed_limit_ms,lat,lon,total_vehicle_count,mean_speed_ms,max_speed_observed_ms,total_halting_count,mean_occupancy_pct,mean_gap_m,min_gap_m,mean_rel_velocity_ms,mean_time_gap_s,min_time_gap_s,mean_acceleration_ms2,min_acceleration_ms2,total_hard_brakes,num_lane_rows,total_conflicts,severe_conflicts,mean_min_ttc,mean_max_drac,mean_pet,mean_distance_to_node
13977163698,priority,False,4,4,15.28,22.575858389932232,88.34892756073354,1.0,8.7425,17.23,0.0,0.0075,61.92,43.95,6.67,4.88,2.55,0.385,-1.76,0.0,4.0,0.0,0.0,,,,
664472776,priority,False,6,6,9.26,22.57012519913679,88.35314296467173,5.0,10.652727272727272,13.55,0.0,0.0163636363636363,102.70444444444443,0.14,-2.4266666666666667,14.304444444444446,0.4,-0.2881818181818181,-5.0,34.0,11.0,4.0,0.0,2.405,1.165,,7.256144268826087e-05
10943720043,priority,False,4,4,8.33,22.57620459521577,88.35188252718754,,,,,,,,,,,,,,,0.0,0.0,,,,
10943736751,priority,False,6,4,12.97,22.57430191635972,88.35944756970994,2.0,16.121538461538464,17.83,0.0,0.0092307692307692,121.4057142857143,14.81,1.0571428571428572,7.991428571428571,1.08,0.0015384615384615,-2.14,0.0,13.0,0.0,0.0,,,,
6508839475,right_before_left,False,8,8,5.56,22.5733546703737,88.36093631309836,,,,,,,,,,,,,,,0.0,0.0,,,,
10964798380,priority,False,2,2,13.89,22.570965596286484,88.34599594666076,0.0,13.89,13.66,0.0,0.0,,,,,,0.71,-1.34,0.0,2.0,0.0,0.0,,,,
cluster_1190100404_664446591,priority,False,6,6,12.04,22.571349104511725,88.34642691235749,5.0,11.345454545454546,14.43,0.0,0.0109090909090909,60.886,13.86,0.0859999999999999,6.7700000000000005,1.4,-0.1109090909090908,-5.0,7.0,11.0,0.0,0.0,,,,
10279701149,priority,False,2,2,11.11,22.56491564861758,88.35932887248454,2.0,10.8225,12.03,0.0,0.0075,,,,,,-0.185,-5.0,6.0,4.0,0.0,0.0,,,,
664472751,priority,False,4,4,13.89,22.570074914623486,88.35096067764553,2.0,15.039333333333332,18.0,0.0,0.0066666666666666,47.61923076923077,10.09,1.6207692307692307,5.1,0.92,-1.156,-5.0,123.0,15.0,6.0,0.0,1.9333333333333331,2.536666666666666,1.01,3.130222480254328e-05
1177160369,priority,False,4,4,18.05,22.568047685563005,88.3542938972711,0.0,22.22,17.98,0.0,0.0,55.95,6.93,0.5757142857142856,5.938571428571429,1.06,0.42625,-5.0,17.0,8.0,12.0,2.0,2.106666666666667,2.5875,,0.0001318478456856
