node_id,total_vehicle_count,mean_speed_ms,max_speed_observed_ms,total_halting_count,mean_occupancy_pct,mean_gap_m,min_gap_m,mean_rel_velocity_ms,mean_time_gap_s,min_time_gap_s,mean_acceleration_ms2,min_acceleration_ms2,total_hard_brakes,num_lane_rows
1189036937,1,21.854666666666667,18.0,0,0.006666666666666667,48.58,14.7,0.010714285714285707,4.035714285714286,1.06,0.33,-2.27,0,15
1189868546,0,13.89,15.06,0,0.0,85.73,78.82,-9.05,16.1,14.42,0.675,-2.0,0,2
1189868548,24,16.237391304347828,18.0,8,0.04391304347826087,50.8705,0.0,-0.1385000000000001,4.216842105263158,0.24,0.008260869565217394,-5.52,62,23
1189868561,0,11.11,12.61,0,0.013333333333333334,46.438,10.61,-0.372,4.664,1.11,0.3866666666666667,-1.72,0,6
1189868581,3,13.7225,14.21,0,0.0075,,,,,,-0.23249999999999998,-5.0,6,8
1189868590,3,13.376666666666667,16.42,0,0.02266666666666667,94.77999999999999,1.83,1.5841666666666665,28.233333333333334,1.09,0.5626666666666666,-5.0,11,15
1189868591,1,11.904166666666667,15.62,0,0.0025,113.68375,13.65,3.9175000000000004,14.7225,1.12,0.20083333333333334,-5.0,5,12
1189868598,0,22.22,17.93,0,0.0,48.35666666666666,15.67,2.9683333333333333,3.4250000000000003,1.1,0.13285714285714284,-2.75,0,7
1190100042,2,10.678571428571429,12.01,0,0.005714285714285714,10.155000000000001,8.19,-0.96,1.345,1.07,0.22571428571428573,-2.54,0,7
1190100058,5,16.19363636363636,17.98,0,0.025454545454545455,59.39166666666667,18.58,0.31666666666666654,6.010000000000001,1.25,-0.9618181818181818,-5.0,60,11
1190100061,0,22.22,17.97,0,0.0,85.20142857142856,15.51,3.4614285714285713,5.311428571428571,1.11,0.15875,-2.0,0,8
1190100064,1,11.08375,12.94,0,0.01125,74.48,10.85,1.3414285714285714,7.054285714285714,1.1,0.49625,-2.22,0,8
1190100093,4,13.084615384615384,16.11,0,0.012307692307692308,99.325,67.26,-1.1149999999999998,11.36,5.05,0.7553846153846154,-2.21,0,13
1190100107,1,10.538571428571428,12.33,0,0.004285714285714286,91.48714285714286,27.95,0.41285714285714287,9.575714285714286,2.65,0.7571428571428571,-2.19,0,7
1190100120,0,27.78,16.19,0,0.0,24.05333333333333,14.17,1.9833333333333334,1.99,1.24,0.2433333333333333,-4.4,1,6
1190100138,2,10.985714285714286,12.39,0,0.0071428571428571435,178.15,9.59,-1.124,16.796,1.07,-0.01,-2.96,0,7
1190100139,3,10.624285714285715,12.27,0,0.045714285714285714,94.00714285714285,10.87,0.34142857142857136,9.032857142857143,1.13,-0.7114285714285715,-5.0,17,7
1190100178,1,10.805,12.28,0,0.006,76.6825,23.18,0.3999999999999998,7.075,2.44,0.07200000000000001,-2.06,0,10
1190100182,1,13.461818181818183,15.53,0,0.004545454545454546,88.435,23.37,-2.1825,11.395,1.55,0.5145454545454545,-2.31,0,11
1190100185,2,22.474285714285713,14.79,0,0.028571428571428574,67.566,13.79,-2.114,8.15,1.25,1.4214285714285713,-0.92,0,7
1190100199,5,11.045,14.27,0,0.0225,62.36,9.34,0.09750000000000003,6.13875,0.99,0.38875,-2.44,0,8
1190100244,1,11.188571428571427,12.44,0,0.0,138.485,119.79,-0.6100000000000001,14.629999999999999,10.48,0.02428571428571429,-2.18,0,7
1190100245,0,11.11,11.9,0,0.0,11.32,9.84,0.08,1.22,1.0,0.004999999999999998,-2.7,0,6
1190100277,1,11.288333333333332,12.51,0,0.006666666666666667,124.77,123.34,0.26,12.72,12.11,0.22833333333333336,-2.13,0,6
1190100287,0,13.890000000000002,15.7,0,0.0,99.944,10.74,-0.38199999999999984,7.720000000000001,1.12,0.1081818181818182,-2.46,0,11
1190100298,2,13.25,15.53,0,0.005,153.995,87.57,1.42,12.344999999999999,7.33,0.6525,-2.22,0,8
1190100299,0,11.11,11.72,0,0.0,,,,,,0.49,-1.14,0,1
1190100324,0,11.11,12.5,0,0.0,72.205,10.14,1.0316666666666665,6.626666666666666,1.05,-0.04333333333333333,-2.44,0,9
1190100352,6,19.502727272727274,18.0,0,0.01909090909090909,95.56714285714285,12.45,-0.46285714285714274,7.412857142857143,1.71,0.8736363636363635,-2.25,0,11
1190100379,0,11.11,14.2,0,0.0,139.33,136.1,-6.53,18.89,16.47,0.5925,-2.01,0,4
1190100407,2,10.87,12.95,0,0.04125,73.65125,10.78,0.98625,7.8425,1.1,0.42625,-3.34,1,8
