node_id,distance_to_node,time,ego_id,foe_id,min_ttc,max_drac,pet
cluster_10279761592_11942000229_11942000233_663943274,0.00011941785219705595,121.0,111,88,1.31,2.97,
cluster_5424222000_664446587,8.469705221756199e-05,138.0,75,80,1.97,4.46,
cluster_10279761592_11942000229_11942000233_663943274,0.00011941785219705595,131.5,111,103,1.84,2.67,
cluster_10281965682_663944134,0.00012309930443796385,134.5,32,215,1.12,3.51,
cluster_13298740740_664446558,6.530116535994055e-05,108.0,102,58,2.23,3.05,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.00013068577469212077,4.5,5,8,1.23,1.82,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.00013068577469212077,6.5,5,10,2.75,1.22,
1177160403,5.160697091599688e-05,129.0,5,15,2.51,3.42,
cluster_5424222000_664446587,8.469705221756199e-05,138.0,80,75,1.97,4.46,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.00013068577469212077,4.5,8,5,1.23,1.82,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.00013068577469212077,6.5,10,5,2.75,1.22,
cluster_11942000232_664472748,7.795572357906995e-05,137.5,184,153,2.16,2.35,
cluster_10281958922_663940594,0.0001085751381393415,144.0,77,138,1.29,1.95,0.6
664446557,0.00011887273279195319,114.5,53,106,2.75,1.46,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.0001674960777077758,6.5,8,10,1.71,0.69,
1177160403,5.160697091599688e-05,129.0,8,15,1.84,2.44,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.0001674960777077758,6.5,10,8,1.71,0.69,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.0002106550814801728,71.5,10,67,1.79,2.45,
1177160403,5.160697091599688e-05,129.0,10,15,2.43,1.87,
1177161219,0.00010200880055214587,127.0,26,94,1.15,2.85,
cluster_11158897100_11158897101_11158897102_664471748_#1more,0.0002614506859606199,125.5,59,170,1.35,3.08,
1177161631,8.873386554343146e-05,144.5,123,51,1.91,4.07,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.00019725959096935934,132.0,61,206,1.38,2.96,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.00019725959096935934,132.0,206,61,1.38,2.96,
664446557,0.00011887273279195319,114.5,106,53,2.75,1.46,
1174832475,4.279942021348056e-05,126.0,106,187,1.74,2.03,
cluster_11942000227_11942000230_6173706992,0.00010614543381208975,119.5,46,130,2.55,2.88,
cluster_11942000227_11942000230_6173706992,0.00010614543381208975,119.5,130,46,2.55,2.88,
cluster_10281958922_663940594,0.0001085751381393415,144.0,138,77,1.29,1.95,0.6
1177161219,0.00010200880055214587,128.5,26,140,2.47,1.94,
cluster_664446535_8507351665_8507351666,5.4434519153010445e-05,147.5,211,52,2.12,2.17,
664446590,4.3854783801467487e-05,147.0,243,130,2.03,3.41,
cluster_664446535_8507351665_8507351666,5.4434519153010445e-05,147.5,211,57,2.48,1.73,
664446590,4.3854783801467487e-05,147.0,130,243,2.03,3.41,
cluster_11944729366_664471711,0.00014815942040774107,148.0,62,12,2.67,1.22,
cluster_10279701141_664472702,9.386762991074034e-05,153.0,170,209,1.7,2.13,
cluster_13298740740_664446558,1.910492868972921e-06,154.0,53,52,,3.64,
1177161631,8.873386554343146e-05,144.5,51,123,1.91,4.07,
cluster_10279701142_664471710,0.0001654233986334615,101.5,134,98,1.49,1.83,
