node_id,total_conflicts,severe_conflicts,mean_min_ttc,mean_max_drac,mean_pet,mean_distance_to_node
cluster_10943433501_10943433503,2,2,1.1,2.88,,0.00015105732555858748
cluster_11158897098_664472732,8,2,2.225,2.255,,0.00012672432320856184
cluster_11158897100_11158897101_11158897102_664471748_#1more,114,50,1.796160714285714,2.482719298245614,1.3933333333333333,0.0002455743258027261
cluster_11502623494_11502623496_1186025300_13298747739,6,4,1.3633333333333333,1.5966666666666667,,0.00013574012391459194
cluster_11502623497_1177160337,12,6,1.9283333333333335,2.1566666666666667,,9.544935745850079e-05
cluster_1174832725_13298747729_13298747740,4,2,1.8599999999999999,2.25,,7.641049340383418e-05
cluster_1177160373_664472773,36,8,2.4106451612903226,2.3244444444444445,1.81,9.278303406008201e-05
cluster_1177160434_1177161050,4,0,2.44,1.3900000000000001,1.94,0.00011352642570201099
cluster_1177161169_664472775,68,22,2.049642857142857,2.489411764705882,1.6616666666666668,8.682342465823659e-05
cluster_1177211304_1177211692,182,44,2.0843956043956045,2.5145054945054945,,0.00025562286923440196
cluster_1177211336_1191714436,2,0,2.3,0.89,0.91,3.4122109348785373e-05
cluster_1177211353_1177211711,8,4,1.6625,2.6999999999999997,1.57,0.00012160290736808035
cluster_1177211394_1177211683,45,10,2.1386666666666665,1.995111111111111,,0.0002544293459379352
cluster_1177211698_663826189,2,0,1.52,2.5,,0.00012104289688062798
cluster_1177211838_13300645525_13300645528,87,28,2.058953488372093,2.0480459770114945,7.996666666666666,8.814929663323834e-05
cluster_1177212073_13300645524_664471560,116,44,1.9221818181818182,2.0732758620689653,3.6100000000000003,0.00014863506466598238
cluster_1186025344_13298747727_13298747728_13298747738_#3more,124,44,1.8948387096774195,2.337258064516129,,0.00031142006820494237
cluster_1189036595_13298747741,6,2,1.79,1.9733333333333334,,8.139455738130095e-05
cluster_1189036692_13298747742,4,2,1.445,1.57,,8.508219124423052e-05
cluster_1190128285_13300645523_13300645535,4,2,1.345,2.7800000000000002,,7.574457557149708e-05
cluster_11942000227_11942000230_6173706992,16,6,1.4428571428571428,3.71375,1.23,0.0001259906664720224
cluster_11942000232_664472748,6,0,2.046666666666667,1.9833333333333334,,7.6987658582097e-05
cluster_11944729366_664471711,151,29,2.136308724832215,2.0741721854304633,3.0475000000000003,0.00018831395013797493
cluster_13298740740_664446558,122,34,2.0096610169491522,2.57655737704918,,0.00011856114371590345
cluster_13298747733_13298747737_663825864,8,6,1.5425,1.9649999999999999,,0.00011883415983454685
cluster_13298747747_13298747748_13298747749_13298747755_#2more,68,24,1.8187878787878788,2.1911764705882355,18.57,0.00016270226756909782
cluster_13298747750_13298747754_7007141699,14,8,1.487142857142857,2.7328571428571427,,6.933015973057823e-05
cluster_13298747751_6469124180,27,16,1.5185185185185186,2.5418518518518516,,0.00013243730623885915
cluster_13300645520_13300645530_663844204,2,2,1.2,2.96,,0.00010705178414465581
cluster_13908994425_13908994429_13908994430,38,16,1.7463157894736843,2.344736842105263,,0.00016557670883450857
cluster_5424222000_664446587,8,2,2.115,3.055,,8.438129775384544e-05
cluster_5424222009_664446539,2,0,2.04,3.39,,0.00010138976228407174
cluster_663842376_663944135,24,10,1.8691666666666666,2.4116666666666666,,0.00013583658129844565
cluster_664446535_8507351665_8507351666,174,44,2.0472413793103446,2.340574712643678,6.495,0.00021108717744737135
